archiveStatus,bytes,checksumSha256,error,isOfficial,isPrimary,localFilePath,path,publicationDate,publisher,recordCount,reliabilityGrade,retrievalDate,sourceId,sourceType,title,url
retrieved,152797,ff6e770b8ced11607081d913cd22930e266156a74408fe8315be6513c5c58949,,true,true,evidence/lhdrs/mission5/pdf/oc_bond_monitoring_2006_q4.pdf,pdf/oc_bond_monitoring_2006_q4.pdf,2007-01-01,County of Orange,,A1,2026-07-27,LH-SRC-OC-BOND-2006Q4,official_bond_monitoring_report,"Orange County Bond Monitoring Program, Fourth Quarter 2006",https://www.ocgov.com/sites/default/files/import/data/files/4147.pdf
retrieved,1568029,fbbe9331a19c92870c6e156e3c1d7518f6d320c071a3898a633dfde6231a6568,,true,true,evidence/lhdrs/mission5/pdf/oc_bond_monitoring_2011_q4.pdf,pdf/oc_bond_monitoring_2011_q4.pdf,2012-01-01,County of Orange,,A1,2026-07-27,LH-SRC-OC-BOND-2011Q4,official_bond_monitoring_report,"Orange County Bond Monitoring Program, Fourth Quarter 2011",https://cfo.oc.gov/sites/finance/files/import/data/files/4148.pdf
retrieved,779194,84607f5b609499edf81aec709ef0e6fd46ecb76a9746d970c9248838add63b9c,,true,true,evidence/lhdrs/mission5/pdf/oc_cfd_resolution_history.pdf,pdf/oc_cfd_resolution_history.pdf,,County of Orange,,A2,2026-07-27,LH-SRC-OC-CFD-HISTORY,official_cfd_history,Orange County Community Facilities District Resolution History,https://cfo.oc.gov/sites/finance/files/import/data/files/49731.pdf
retrieved,197712,9ec7f4e1d2f323ef81254f368b0b426ab0a6bb309819ad9cf37c334e8c0b93b7,,true,true,evidence/lhdrs/mission5/pdf/oc_local_accountability_2018.pdf,pdf/oc_local_accountability_2018.pdf,2018-12-31,County of Orange,,A2,2026-07-27,LH-SRC-OC-LADR-2018,official_accountability_report,Local Agency Special Tax and Bond Accountability Report 2018,https://cfo.ocgov.com/sites/finance/files/import/data/files/83680.pdf
retrieved,46355,ce55c3095c7111cea86fdad9ebd75ac5c5719c01c61fbe571d3ba576243d467a,,true,true,evidence/lhdrs/mission5/pdf/laderalife_street_neighborhood_list_2019.pdf,pdf/laderalife_street_neighborhood_list_2019.pdf,2019-05-21,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-STREETS-2019,official_community_directory,LaderaLife Street and Neighborhood List,https://laderalife.com/assets//Neighborhood%20Street%20List%205.21.19.pdf
retrieved,7816693,71585c041dd74ffa8141179189f6d06248c244b235e5bdba1173a75418cca3a0,,true,true,evidence/lhdrs/mission5/pdf/covenant_hills_design_guidelines_ch1_2006.pdf,pdf/covenant_hills_design_guidelines_ch1_2006.pdf,2006-09-18,Ladera Ranch Maintenance Corporation,,A2,2026-07-27,LH-SRC-LARMAC-CUSTOM-2006,official_design_guidelines,"Covenant Hills Custom Home Design Guidelines, Chapter 1",https://laderalife.com/upload/FormsAndDocument/Document/2019-01/Custom_Home_Design_Guidelines%2C_Chapter_1_-_Introduction-1.pdf
retrieved,1008388,fa3c7f188ffbb0f2920f5ea80065b1be91107673f10d6212a6a11b38a49e8670,,true,true,evidence/lhdrs/mission5/pdf/ladera_ranch_transportation_survey_2008.pdf,pdf/ladera_ranch_transportation_survey_2008.pdf,2008-01-01,County of Orange,,A2,2026-07-27,LH-SRC-OC-TRANSPORT-2008,official_transportation_survey,Ladera Ranch Transportation Survey Packet,https://bos.ocgov.com/legacy5/newsletters/pdf/ladera_ranch_transportation_survey_packet_2008.pdf
retrieved,16659289,ea1ded896342d8b53e4d956f842beafd42cf4024b5886c2388b369cbc988dc75,,true,false,evidence/lhdrs/mission5/pdf/roots_and_wings_winter_2019.pdf,pdf/roots_and_wings_winter_2019.pdf,2019-12-01,Ladera Ranch Community Services,,B1,2026-07-27,LH-SRC-LARMAC-RW-2019W,official_community_magazine,"Roots and Wings, Winter 2019",https://laderalife.com/upload/RootsAndWing/Magazine/2019-12/0145%20Roots%20and%20Wings%20Winter%202019%20revised%20%28spreads%29.pdf
retrieved,12235601,40dd6c98b700ae56927d8a87ce3d316850fa491d8545d7b346fdcd618f35197d,,true,false,evidence/lhdrs/mission5/pdf/roots_and_wings_spring_2020.pdf,pdf/roots_and_wings_spring_2020.pdf,2020-03-01,Ladera Ranch Community Services,,B1,2026-07-27,LH-SRC-LARMAC-RW-2020S,official_community_magazine,"Roots and Wings, Spring 2020",https://laderalife.com/upload/RootsAndWing/Magazine/2020-03/RootsandWingsSpring2020.pdf
retrieved,87700,2c2bfac90432cfb585898806f0d9b13cf8fc2bf1da1e3b54d662183df9bc4fa7,,true,false,evidence/lhdrs/mission5/html/laderalife_timeline_2026.html,html/laderalife_timeline_2026.html,,Ladera Ranch Community Services,,B1,2026-07-27,LH-SRC-LARMAC-TIMELINE-M5,official_community_timeline,Explore Ladera Ranch: Ladera Ranch Through the Years,https://laderalife.com/about/explore-ladera-ranch
