"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AE1","OE1","OE2","REM"
"99999993101","1999-07-01T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-01T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOM  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","99,9,99,9,99,9,00,5",,,"SOM018DAYS W/PCP >=1.00:"
"99999993101","1999-07-02T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-03T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-04T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-05T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-06T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-07T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-08T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
"99999993101","1999-07-09T07:59:00","6","33.66667","-117.73333","117.0","EL TORO MCAS, CA US","SOD  ","KNZJ ","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"1,24,99999,999,9999,7","2,24,99999,999,9999,7","SOD163HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00  .00"
