confidence,limitations,neighborhoodName,neighborhoodPhaseId,officialVillageCode,openingDateEarliest,openingDateLatest,openingDateStatus,sourceIds,statementClass,village
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Amberly Lane 1,LH-NPH-01-AMBERLY-LANE-1,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Amberly Lane 2,LH-NPH-01-AMBERLY-LANE-2,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Fairfield 1,LH-NPH-01-FAIRFIELD-1,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Fairfield 2,LH-NPH-01-FAIRFIELD-2,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Heritage Park (DMB),LH-NPH-01-HERITAGE-PARK-DMB,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Maplewood 1,LH-NPH-01-MAPLEWOOD-1,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Maplewood 2,LH-NPH-01-MAPLEWOOD-2,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Prescott 1,LH-NPH-01-PRESCOTT-1,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Prescott 2,LH-NPH-01-PRESCOTT-2,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Sarasota 1,LH-NPH-01-SARASOTA-1,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
high,"Official current membership directory establishes name and village association only; the trailing number is retained as the site's village code, not asserted as an opening phase.",Sarasota 2,LH-NPH-01-SARASOTA-2,1,,,not_located,LH-SRC-LARMAC-VILLAGE-1,documented_exact,Oak Knoll
