stationContextId,stationFileId,year,month,rawReportCount,deduplicatedHourCount,expectedCalendarHours,validSpeedHourCount,validDirectionalHourCount,validSpeedCoveragePct,meanSpeedMS,medianSpeedMS,p90SpeedMS,maxSustainedSpeedMS,calmHourPct,strongWindHourCountGe10MS,northerlyPct,easterlyPct,southerlyPct,westerlyPct,prevailingSector,timeBasis,sourceIds,statementClass,confidence,limitations
LH-WIND-EL-TORO,69014093101,1997,1,744,744,744,743,637,99.87,1.345,1.000,2.100,9.300,11.84,0,8.32,48.04,25.12,18.52,easterly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,2,672,672,672,672,561,100.00,1.774,1.000,4.100,10.300,14.29,3,13.01,40.82,19.96,26.20,easterly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,3,744,744,744,743,731,99.87,2.545,2.100,4.500,6.700,0.54,0,7.52,36.80,18.74,36.94,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,4,720,720,720,720,642,100.00,2.272,2.100,4.100,10.300,9.44,2,4.05,34.58,26.32,35.05,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,5,744,744,744,742,638,99.73,1.864,2.100,3.600,6.200,13.21,0,2.98,22.57,29.78,44.67,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,6,720,720,720,720,642,100.00,2.078,2.100,4.100,6.700,8.61,0,2.96,17.91,43.30,35.83,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,7,744,744,744,744,631,100.00,1.907,2.100,4.100,6.200,13.31,0,4.91,15.69,20.29,59.11,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,8,744,744,744,742,624,99.73,1.885,1.500,4.100,6.700,14.56,0,6.57,16.03,19.07,58.33,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,9,720,720,720,720,559,100.00,1.764,1.500,3.650,7.200,20.28,0,5.72,22.90,18.78,52.59,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,69014093101,1997,10,744,744,744,740,630,99.46,2.291,2.100,4.600,11.300,12.03,3,7.62,34.29,19.52,38.57,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
